mse,rmse,mae,r2,corr_pearson,corr_spearman,directional_accuracy,count,fold,train_size,test_size
0.07973800020937753,0.2823791780733444,0.2635998476758503,-1641.566462031291,-0.14952136399243307,-0.17432620172270077,0.5833333333333334,60,1,800,120
0.008810307939364334,0.09386324061827576,0.0765269453986555,-193.88473647016167,-0.09220874986094388,-0.08196721311475412,0.5333333333333333,60,2,920,120
0.01292274949742483,0.11367827187912749,0.09690270513141178,-192.9235092905718,0.04792109213685338,0.017838288413448183,0.55,60,3,1040,120
0.008880265412414646,0.09423516017079106,0.07700967819187916,-152.24046740086655,-0.17731627108340825,-0.1618227285357044,0.43333333333333335,60,4,1160,120
0.007042163640331036,0.08391760030131365,0.06286877546293562,-37.748065483076836,-0.04546230387679049,-0.05657126979716588,0.5166666666666667,60,5,1280,120
0.003916600511349662,0.06258274931120926,0.04987891514614435,-27.792793465511906,0.008703022872079217,-0.012336760211169771,0.5,60,6,1400,120
0.008905709975526893,0.09437006927795959,0.07819380275010576,-123.61864788926505,0.031603298053959665,0.09374826340650183,0.5333333333333333,60,7,1520,120
0.006209590617385791,0.07880095568827697,0.06709260160951273,-366.18498436604517,-0.029097641448094184,0.024951375382050577,0.576271186440678,60,8,1640,120
0.03054237026130164,0.17476375557106125,0.16865346071644988,-1320.658727262417,-0.03440373963870536,-0.03428730202834121,0.43333333333333335,60,9,1760,120
0.021508885224821403,0.14665907822164095,0.13289976575335946,-205.39413207212118,-0.25191844346124964,-0.24334537371492088,0.4166666666666667,60,10,1880,120
0.006271863959113833,0.07919510060044013,0.061376990206763064,-209.31726332971834,-0.19932541354392666,-0.16298971936649073,0.5166666666666667,60,11,2000,120
0.007475520835434778,0.08646109434557707,0.06972971537477818,-36.24852575599029,-0.04837884507790215,-0.03895526535148653,0.6,60,12,2120,120
0.02342554512990202,0.1530540595015435,0.1431563155390077,-402.10105651296425,0.1437939138795807,0.2031119755487636,0.4666666666666667,60,13,2240,120
0.002215734930163872,0.047071593665010666,0.03824869564071443,-123.87773183786152,0.07800294629610897,0.13092525701583774,0.4666666666666667,60,14,2360,120
0.06446928543141663,0.25390802553565855,0.2224764824420424,-268.42418088996783,0.004667851257596393,-0.03173103639899973,0.4166666666666667,60,15,2480,120
0.0048687498521353565,0.06977642762520418,0.05800183786452125,-49.29211766865971,-0.07324105158842044,-0.08485690469574884,0.4666666666666667,60,16,2600,120
0.0025610523007019116,0.05060684045365717,0.04123345070860005,-49.844255388552654,-0.38723573186137644,-0.28157821617115875,0.5,60,17,2720,120
0.025176158964674518,0.15866996869185584,0.15231722513559637,-322.30528858858963,0.10325138740222273,0.1449847179772159,0.35,60,18,2840,120
0.0067454930675544394,0.08213095072842173,0.06830818915655622,-24.21731472868524,-0.08638753012784622,-0.08013337038066132,0.48333333333333334,60,19,2960,120
0.017560420362482333,0.1325157362824594,0.11942413515828382,-62.19592487182,0.13739639636729034,0.14181717143651018,0.43333333333333335,60,20,3080,120
0.004969977246334301,0.07049806555029933,0.057754845787775906,-58.596576130044156,-0.005427658033437331,-0.00016671297582661855,0.55,60,21,3200,120
0.00201835947218814,0.04492615576908556,0.035832667597099785,-27.65200387036733,-0.25772201910281706,-0.25312586829674916,0.45,60,22,3320,120
0.01556618457076595,0.12476451647309804,0.11982995192310911,-268.7118337280373,0.04111498509713024,0.04251180883578772,0.48333333333333334,60,23,3440,120
0.010491610710699397,0.10242856393945683,0.08976099508171263,-139.08093895301172,0.18157542963300674,0.13798277299249792,0.6166666666666667,60,24,3560,120
0.012490308015474771,0.11176004659749732,0.10070734472170585,-27.510326483513772,0.028264174190186713,-0.10230619616560158,0.5,60,25,3680,120
0.008924098307876648,0.09446744575713185,0.09097074553518014,-263.0066396512698,0.0603699914510287,0.17091836734693874,0.46938775510204084,49,26,3800,109
